display  D   display_settings.c:400  _al_score_display_settings       [   0.21037] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21049] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21065] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21089] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21106] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21118] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21133] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21149] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21165] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21181] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21202] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21216] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21228] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21241] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21253] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21270] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21282] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21295] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21305] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21314] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21320] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21330] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21339] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21351] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21362] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21369] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21379] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21386] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21395] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21403] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21410] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21420] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21435] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21446] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21453] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21460] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21468] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21477] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21485] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21495] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21531] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21546] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21559] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21574] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21591] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.21604] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21615] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21627] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21637] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.21647] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.21655] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
