stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Hayat\source\repos\Projeto-1904\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.15748] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15767] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15782] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15798] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15818] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15834] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15849] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15870] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15894] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15911] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15927] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15936] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15944] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15959] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15975] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15983] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15993] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16007] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16023] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16037] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16051] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16066] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16080] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16092] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16104] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16114] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16123] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16138] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16151] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16165] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16182] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16200] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16211] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16224] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16236] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16250] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16258] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16265] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16273] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16281] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16288] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16295] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16304] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16313] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16321] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16330] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16338] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16346] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16353] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16361] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16368] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16373] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16382] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16394] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16404] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16416] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16428] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16439] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16449] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16460] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16471] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16483] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16493] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16505] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16514] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16534] Score is : 589
